Customer_ID,Age,Income,Loan_Amount,Credit_Score,Employment_Type,Default
CUST_00000,58,7529.0,3292.0,695.0,Self_Employed,0
CUST_00001,48,5860.0,1381.0,740.0,Salaried,0
CUST_00002,34,3818.0,1226.0,685.0,Salaried,1
CUST_00003,62,6124.0,500.0,653.0,Salaried,0
CUST_00004,27,3676.0,3540.0,747.0,Salaried,0
CUST_00005,40,5547.0,3048.0,787.0,Salaried,0
CUST_00006,58,2496.0,3811.0,665.0,Salaried,1
CUST_00007,38,5058.0,4833.0,753.0,Self_Employed,0
CUST_00008,42,7379.0,2638.0,594.0,Salaried,0
CUST_00009,30,4402.0,2896.0,610.0,Salaried,0
CUST_00010,30,7187.0,3515.0,807.0,Salaried,0
CUST_00011,43,11187.0,2145.0,360.0,Salaried,0
CUST_00012,55,4942.0,813.0,626.0,Self_Employed,0
CUST_00013,59,6228.0,1273.0,672.0,Salaried,0
CUST_00014,43,5954.0,2940.0,534.0,Salaried,0
CUST_00015,22,5450.0,4500.0,758.0,Salaried,0
CUST_00016,41,6576.0,5351.0,645.0,Self_Employed,0
CUST_00017,21,4504.0,2573.0,721.0,Salaried,0
CUST_00018,43,3675.0,3252.0,801.0,Salaried,0
CUST_00019,63,1947.0,5806.0,773.0,Self_Employed,0
CUST_00020,49,4314.0,3775.0,615.0,Salaried,0
CUST_00021,57,6803.0,3206.0,536.0,Self_Employed,1
CUST_00022,21,3120.0,3315.0,610.0,Unemployed,0
CUST_00023,40,5493.0,3873.0,666.0,Salaried,0
CUST_00024,52,4754.0,1170.0,472.0,Self_Employed,1
CUST_00025,31,3759.0,4141.0,809.0,Self_Employed,0
CUST_00026,41,1294.0,3659.0,662.0,Salaried,0
CUST_00027,63,7726.0,4632.0,627.0,Self_Employed,0
CUST_00028,44,6034.0,3741.0,457.0,Self_Employed,1
CUST_00029,68,10331.0,4532.0,651.0,Self_Employed,0
CUST_00030,46,7159.0,1616.0,660.0,Salaried,0
CUST_00031,61,7681.0,2105.0,566.0,Unemployed,0
CUST_00032,47,1501.0,3229.0,680.0,Self_Employed,1
CUST_00033,35,1466.0,1873.0,637.0,Unemployed,1
CUST_00034,34,5085.0,4283.0,489.0,Salaried,1
CUST_00035,66,2704.0,877.0,718.0,Salaried,0
CUST_00036,63,3637.0,2761.0,850.0,Salaried,0
CUST_00037,22,10053.0,2150.0,829.0,Salaried,0
CUST_00038,56,7380.0,1886.0,699.0,Salaried,0
CUST_00039,26,3129.0,944.0,678.0,Unemployed,0
CUST_00040,40,1000.0,3063.0,499.0,Self_Employed,1
CUST_00041,28,2960.0,2875.0,675.0,Salaried,1
CUST_00042,58,3886.0,5857.0,621.0,Salaried,0
CUST_00043,37,4357.0,6732.0,396.0,Salaried,1
CUST_00044,23,2442.0,1398.0,612.0,Salaried,1
CUST_00045,44,7260.0,500.0,593.0,Salaried,0
CUST_00046,33,3577.0,1199.0,495.0,Salaried,0
CUST_00047,69,6297.0,2907.0,640.0,Salaried,0
CUST_00048,28,5108.0,4688.0,502.0,Self_Employed,1
CUST_00049,45,6877.0,2278.0,690.0,Self_Employed,0
CUST_00050,21,4524.0,3867.0,706.0,Self_Employed,0
CUST_00051,39,3150.0,1801.0,444.0,Salaried,0
CUST_00052,47,3803.0,2269.0,609.0,Self_Employed,0
CUST_00053,66,3831.0,3250.0,603.0,Self_Employed,0
CUST_00054,26,9129.0,2983.0,626.0,Salaried,0
CUST_00055,63,5153.0,2946.0,405.0,Self_Employed,0
CUST_00056,27,5009.0,1377.0,689.0,Salaried,0
CUST_00057,66,6764.0,4839.0,802.0,Salaried,0
CUST_00058,54,5000.0,4827.0,802.0,Self_Employed,0
CUST_00059,33,7243.0,4853.0,741.0,Self_Employed,0
CUST_00060,36,4256.0,1984.0,449.0,Self_Employed,0
CUST_00061,55,4053.0,3179.0,587.0,Salaried,0
CUST_00062,69,3039.0,2213.0,700.0,Salaried,0
CUST_00063,59,8700.0,1538.0,696.0,Self_Employed,0
CUST_00064,23,4860.0,3427.0,766.0,Salaried,0
CUST_00065,21,2652.0,500.0,624.0,Unemployed,0
CUST_00066,25,5394.0,4270.0,528.0,Self_Employed,0
CUST_00067,61,3700.0,1256.0,703.0,Salaried,0
CUST_00068,23,4221.0,2530.0,602.0,Salaried,0
CUST_00069,48,5622.0,500.0,789.0,Salaried,0
CUST_00070,37,8042.0,5712.0,717.0,Salaried,0
CUST_00071,45,5203.0,3987.0,613.0,Salaried,0
CUST_00072,63,3578.0,3129.0,667.0,Salaried,0
CUST_00073,53,3990.0,1968.0,762.0,Self_Employed,0
CUST_00074,29,6313.0,1401.0,703.0,Unemployed,0
CUST_00075,55,1083.0,2700.0,664.0,Salaried,0
CUST_00076,33,2915.0,3453.0,675.0,Salaried,1
CUST_00077,50,5425.0,2655.0,620.0,Unemployed,1
CUST_00078,67,1587.0,3796.0,691.0,Salaried,1
CUST_00079,34,4375.0,5784.0,652.0,Salaried,0
CUST_00080,27,4043.0,1390.0,546.0,Salaried,1
CUST_00081,33,6755.0,3355.0,693.0,Salaried,0
CUST_00082,42,4499.0,5612.0,705.0,Self_Employed,0
CUST_00083,59,7373.0,2534.0,751.0,Salaried,0
CUST_00084,40,5158.0,2791.0,492.0,Salaried,0
CUST_00085,35,8553.0,3692.0,677.0,Salaried,0
CUST_00086,64,2225.0,4014.0,611.0,Self_Employed,0
CUST_00087,37,8234.0,4575.0,707.0,Salaried,0
CUST_00088,66,4178.0,3164.0,527.0,Salaried,1
CUST_00089,43,7948.0,1808.0,780.0,Salaried,0
CUST_00090,45,7370.0,3841.0,543.0,Unemployed,1
CUST_00091,44,1000.0,1550.0,599.0,Salaried,0
CUST_00092,64,5958.0,3498.0,850.0,Salaried,0
CUST_00093,60,6995.0,3116.0,659.0,Self_Employed,0
CUST_00094,48,7657.0,3079.0,759.0,Self_Employed,0
CUST_00095,34,2647.0,2877.0,675.0,Salaried,0
CUST_00096,64,6181.0,4503.0,777.0,Self_Employed,0
CUST_00097,20,5390.0,3927.0,730.0,Salaried,0
CUST_00098,44,5863.0,4042.0,570.0,Salaried,0
CUST_00099,26,6998.0,2305.0,472.0,Self_Employed,1
CUST_00100,28,7313.0,537.0,522.0,Self_Employed,0
CUST_00101,43,3689.0,2404.0,599.0,Salaried,0
CUST_00102,20,5531.0,3654.0,706.0,Salaried,0
CUST_00103,63,5082.0,3049.0,750.0,Salaried,0
CUST_00104,27,4521.0,2351.0,645.0,Salaried,0
CUST_00105,43,4712.0,3332.0,667.0,Salaried,0
CUST_00106,30,5392.0,2599.0,418.0,Unemployed,1
CUST_00107,36,3796.0,3073.0,622.0,Salaried,0
CUST_00108,27,6766.0,500.0,641.0,Salaried,0
CUST_00109,54,7539.0,4151.0,695.0,Self_Employed,0
CUST_00110,54,3359.0,3919.0,617.0,Salaried,0
CUST_00111,52,7637.0,6168.0,600.0,Salaried,0
CUST_00112,24,3363.0,1932.0,839.0,Salaried,0
CUST_00113,61,6796.0,2245.0,512.0,Salaried,1
CUST_00114,58,7633.0,3261.0,787.0,Salaried,0
CUST_00115,60,4811.0,2949.0,712.0,Salaried,0
CUST_00116,47,3379.0,5370.0,637.0,Salaried,0
CUST_00117,26,3823.0,2388.0,850.0,Salaried,0
CUST_00118,28,5724.0,2769.0,644.0,Salaried,0
CUST_00119,27,8929.0,2157.0,564.0,Self_Employed,0
CUST_00120,31,1615.0,5285.0,671.0,Salaried,0
CUST_00121,53,5200.0,3731.0,738.0,Self_Employed,0
CUST_00122,52,4824.0,5356.0,705.0,Unemployed,0
CUST_00123,67,4087.0,7373.0,596.0,Salaried,0
CUST_00124,42,4838.0,1856.0,717.0,Salaried,0
CUST_00125,43,3916.0,4617.0,478.0,Self_Employed,0
CUST_00126,56,7486.0,2615.0,786.0,Salaried,0
CUST_00127,54,7685.0,1969.0,730.0,Salaried,1
CUST_00128,63,5176.0,801.0,433.0,Self_Employed,1
CUST_00129,59,4718.0,6193.0,577.0,Salaried,0
CUST_00130,41,4014.0,4503.0,775.0,Unemployed,0
CUST_00131,46,5181.0,2662.0,627.0,Salaried,0
CUST_00132,54,8696.0,3933.0,646.0,Salaried,1
CUST_00133,20,4793.0,500.0,791.0,Self_Employed,0
CUST_00134,54,3321.0,2858.0,591.0,Self_Employed,0
CUST_00135,56,4204.0,1857.0,436.0,Salaried,0
CUST_00136,66,6507.0,5168.0,788.0,Salaried,0
CUST_00137,33,3565.0,5269.0,606.0,Salaried,0
CUST_00138,22,4933.0,4336.0,647.0,Self_Employed,0
CUST_00139,20,5946.0,4421.0,631.0,Self_Employed,0
CUST_00140,24,3716.0,2025.0,601.0,Salaried,0
CUST_00141,45,1471.0,4075.0,564.0,Self_Employed,1
CUST_00142,33,2857.0,931.0,632.0,Salaried,0
CUST_00143,58,3282.0,729.0,554.0,Salaried,0
CUST_00144,46,4542.0,2842.0,787.0,Salaried,0
CUST_00145,28,5089.0,3795.0,772.0,Salaried,0
CUST_00146,34,6647.0,3897.0,705.0,Self_Employed,0
CUST_00147,34,2545.0,1114.0,702.0,Salaried,0
CUST_00148,45,6357.0,673.0,480.0,Unemployed,1
CUST_00149,61,4258.0,2323.0,763.0,Salaried,0
CUST_00150,32,1429.0,1685.0,605.0,Salaried,1
CUST_00151,51,5027.0,3918.0,785.0,Salaried,0
CUST_00152,58,7633.0,1481.0,820.0,Salaried,0
CUST_00153,68,6766.0,5916.0,626.0,Salaried,0
CUST_00154,51,4847.0,3544.0,426.0,Salaried,1
CUST_00155,23,7252.0,2780.0,673.0,Salaried,0
CUST_00156,49,5384.0,1279.0,534.0,Self_Employed,0
