Record_ID,Temperature,Humidity,Wind_Speed,Season,Is_Holiday,Rental_Count
REC_00000,20.0,49.8,0.2,Fall,No,837
REC_00001,13.6,55.4,12.8,Spring,No,202
REC_00002,21.5,51.0,4.8,Winter,No,343
REC_00003,30.2,61.7,6.1,Winter,No,358
REC_00004,12.7,78.0,3.6,Summer,No,174
REC_00005,12.7,48.4,0.6,Summer,No,519
REC_00006,30.8,75.0,0.1,Summer,No,853
REC_00007,22.7,48.3,6.0,Fall,No,783
REC_00008,10.3,47.3,1.5,Winter,No,10
REC_00009,20.4,72.3,0.9,Fall,No,778
REC_00010,10.4,73.8,2.5,Winter,No,10
REC_00011,10.3,72.8,1.6,Fall,No,293
REC_00012,17.4,40.3,3.2,Summer,No,678
REC_00013,-4.1,53.0,2.0,Fall,No,215
REC_00014,-2.2,72.3,3.6,Spring,No,10
REC_00015,9.4,60.6,5.8,Summer,No,117
REC_00016,4.9,43.9,0.7,Spring,No,10
REC_00017,18.1,66.9,1.2,Spring,Yes,761
REC_00018,5.9,49.3,1.7,Summer,No,438
REC_00019,0.9,86.9,9.8,Spring,No,10
REC_00020,29.7,83.2,1.4,Spring,No,770
REC_00021,12.7,69.1,1.4,Winter,No,10
REC_00022,15.7,80.4,3.2,Fall,No,457
REC_00023,0.8,61.0,1.6,Spring,No,10
REC_00024,9.6,71.5,9.1,Fall,No,484
REC_00025,16.1,82.2,6.7,Spring,No,256
REC_00026,3.5,63.7,2.2,Summer,No,110
REC_00027,18.8,56.2,3.1,Summer,Yes,913
REC_00028,9.0,34.4,0.2,Winter,No,10
REC_00029,12.1,58.8,3.6,Summer,No,156
REC_00030,9.0,72.4,3.7,Winter,No,10
REC_00031,33.5,74.2,1.3,Summer,No,677
REC_00032,14.9,67.6,0.7,Fall,No,842
REC_00033,4.4,51.9,7.4,Spring,No,10
REC_00034,23.2,30.3,1.7,Spring,No,708
REC_00035,2.8,52.6,3.2,Winter,No,10
REC_00036,17.1,55.4,0.1,Summer,No,997
