Product_ID,Temperature,Pressure,Production_Speed,Material_Score,Machine_Type,Defect
PROD_00000,163.7,48.3,103.3,61.2,Type_A,0
PROD_00001,156.0,54.5,100.1,88.4,Type_C,0
PROD_00002,178.2,42.2,106.2,57.5,Type_C,0
PROD_00003,187.7,58.1,82.6,80.8,Type_C,0
PROD_00004,163.7,44.6,166.0,73.4,Type_B,0
PROD_00005,163.9,34.0,115.2,81.9,Type_A,0
PROD_00006,202.3,47.9,93.4,90.9,Type_B,0
PROD_00007,169.8,45.7,115.8,81.9,Type_A,0
PROD_00008,184.5,35.1,61.8,77.1,Type_B,0
PROD_00009,177.9,48.4,108.2,71.2,Type_B,0
PROD_00010,154.5,52.1,132.9,68.0,Type_C,0
PROD_00011,172.1,56.8,90.4,71.3,Type_C,0
PROD_00012,177.2,58.9,120.1,68.3,Type_A,0
PROD_00013,155.4,44.9,103.3,58.9,Type_A,0
PROD_00014,179.3,63.9,151.0,83.6,Type_C,1
PROD_00015,197.8,41.3,71.6,67.9,Type_C,0
PROD_00016,194.1,69.2,145.7,60.0,Type_A,1
PROD_00017,152.4,62.0,94.2,91.3,Type_C,0
PROD_00018,183.1,45.3,102.7,59.9,Type_A,0
PROD_00019,172.4,48.4,126.0,64.9,Type_A,0
PROD_00020,165.8,41.6,102.4,75.4,Type_B,0
PROD_00021,194.7,53.7,119.9,57.6,Type_A,1
PROD_00022,184.2,40.4,79.1,45.0,Type_B,0
PROD_00023,177.1,44.8,92.4,63.1,Type_B,0
PROD_00024,156.6,62.1,130.0,63.4,Type_C,0
PROD_00025,177.0,52.3,130.6,68.9,Type_B,0
PROD_00026,178.0,52.7,96.2,60.4,Type_A,0
PROD_00027,162.4,47.3,55.6,66.5,Type_B,0
PROD_00028,194.7,45.0,99.0,74.6,Type_B,0
PROD_00029,170.7,41.5,107.1,73.2,Type_A,0
PROD_00030,213.0,34.5,130.6,68.7,Type_B,1
PROD_00031,183.6,54.8,123.9,73.6,Type_C,0
PROD_00032,186.7,73.8,129.4,64.9,Type_B,0
PROD_00033,213.6,45.2,87.9,78.1,Type_A,0
PROD_00034,210.3,43.3,83.5,56.7,Type_B,0
PROD_00035,169.1,55.4,115.2,78.6,Type_B,1
PROD_00036,189.1,46.5,110.9,81.0,Type_C,0
PROD_00037,187.9,58.1,69.3,69.6,Type_B,0
PROD_00038,189.7,60.5,89.5,70.5,Type_A,0
PROD_00039,189.1,53.1,72.9,77.1,Type_C,0
PROD_00040,185.0,47.8,132.3,76.9,Type_B,1
PROD_00041,184.6,33.3,125.9,77.7,Type_A,0
PROD_00042,213.4,36.2,144.6,72.6,Type_C,0
PROD_00043,160.8,63.2,123.0,58.7,Type_A,0
PROD_00044,169.5,52.4,126.2,87.3,Type_C,0
PROD_00045,181.2,49.5,124.3,75.7,Type_A,0
PROD_00046,200.9,51.9,78.2,,Type_A,0
PROD_00047,184.2,55.5,99.2,95.1,Type_B,0
PROD_00048,194.2,42.6,73.1,95.3,Type_C,0
PROD_00049,196.8,56.6,93.1,66.4,Type_A,1
PROD_00050,183.6,69.1,94.8,91.9,Type_A,0
PROD_00051,155.2,45.9,68.7,65.9,Type_B,0
PROD_00052,152.0,50.5,89.7,66.8,Type_A,0
PROD_00053,166.1,57.9,107.7,66.4,Type_B,1
PROD_00054,176.5,43.8,118.1,67.7,Type_B,0
PROD_00055,201.1,51.7,117.7,76.0,Type_A,1
PROD_00056,187.1,50.6,67.3,73.2,Type_C,0
PROD_00057,170.6,53.4,93.9,67.7,Type_B,0
PROD_00058,182.1,55.7,103.5,78.4,Type_A,0
PROD_00059,155.5,44.0,96.5,72.3,Type_C,0
PROD_00060,198.2,57.6,105.7,73.0,Type_B,0
PROD_00061,187.1,37.8,83.8,84.3,Type_B,0
PROD_00062,167.7,58.6,96.1,88.5,Type_B,0
PROD_00063,180.6,39.3,129.2,76.0,Type_A,0
PROD_00064,155.3,50.2,120.4,91.0,Type_A,0
PROD_00065,203.7,48.3,85.1,56.4,Type_A,0
PROD_00066,162.3,43.9,81.0,64.5,Type_B,0
PROD_00067,170.8,55.7,118.7,81.4,Type_B,0
PROD_00068,213.7,41.4,91.1,,Type_A,0
PROD_00069,150.3,44.8,119.4,75.3,Type_B,0
PROD_00070,180.2,41.9,108.8,72.1,Type_B,0
PROD_00071,178.7,50.8,62.1,68.9,Type_C,0
PROD_00072,197.3,53.7,137.4,68.7,Type_A,0
PROD_00073,173.8,44.4,101.5,81.7,Type_A,0
PROD_00074,160.1,49.3,118.3,69.0,Type_B,1
PROD_00075,192.2,57.9,91.7,71.8,Type_C,1
PROD_00076,192.2,54.7,94.5,84.8,Type_B,0
PROD_00077,197.2,65.7,135.2,66.9,Type_A,0
PROD_00078,164.1,62.0,81.9,85.3,Type_C,0
PROD_00079,179.3,45.1,153.2,49.6,Type_A,0
PROD_00080,185.4,38.4,136.5,71.0,Type_B,0
PROD_00081,160.4,63.3,141.0,53.9,Type_B,0
PROD_00082,195.2,69.5,112.1,74.8,Type_B,0
PROD_00083,147.7,55.9,129.2,81.2,Type_B,0
PROD_00084,184.8,51.4,127.4,66.1,Type_B,0
PROD_00085,172.1,40.6,80.7,53.4,Type_B,1
PROD_00086,178.4,44.0,107.6,76.7,Type_B,0
PROD_00087,192.3,67.2,136.9,69.7,Type_A,0
PROD_00088,177.1,55.4,80.7,84.7,Type_C,0
PROD_00089,191.3,39.9,86.2,98.3,Type_A,0
PROD_00090,193.2,33.6,115.2,75.3,Type_A,0
PROD_00091,180.7,47.7,91.2,83.1,Type_A,0
PROD_00092,133.7,62.5,123.7,100.0,Type_A,0
PROD_00093,194.2,60.8,110.3,95.2,Type_A,0
PROD_00094,185.2,55.7,124.3,87.3,Type_C,1
PROD_00095,156.8,32.3,108.8,81.0,Type_A,0
PROD_00096,167.5,34.9,38.4,57.3,Type_B,0
PROD_00097,158.4,54.4,101.4,68.9,Type_A,0
PROD_00098,169.3,39.4,53.7,76.9,Type_A,0
PROD_00099,187.4,36.3,106.1,69.0,Type_A,0
PROD_00100,169.1,33.5,85.2,88.6,Type_B,0
PROD_00101,201.8,70.0,155.6,66.3,Type_B,1
PROD_00102,206.5,52.2,75.5,99.2,Type_A,0
PROD_00103,155.0,65.0,116.3,81.7,Type_C,0
PROD_00104,163.1,39.7,108.4,99.5,Type_A,0
PROD_00105,144.8,28.4,105.6,87.0,Type_B,0
PROD_00106,152.5,58.1,48.6,75.4,Type_B,0
PROD_00107,157.5,63.6,83.8,66.4,Type_C,0
PROD_00108,175.1,53.8,131.8,,Type_A,0
PROD_00109,179.8,57.6,103.5,80.9,Type_B,0
PROD_00110,198.5,45.0,146.8,93.1,Type_B,0
PROD_00111,157.1,33.1,82.6,100.0,Type_B,0
PROD_00112,163.6,45.7,102.8,77.0,Type_A,0
PROD_00113,164.9,56.0,86.4,74.8,Type_C,0
PROD_00114,213.0,54.9,129.4,79.4,Type_A,0
PROD_00115,182.7,54.0,83.9,74.7,Type_C,0
PROD_00116,171.2,45.2,126.5,86.9,Type_A,0
PROD_00117,165.3,53.7,147.5,61.8,Type_B,0
PROD_00118,194.8,57.1,127.3,54.7,Type_A,0
PROD_00119,200.9,50.0,132.1,68.3,Type_C,0
PROD_00120,170.8,63.4,81.2,58.1,Type_B,0
PROD_00121,213.4,58.8,116.3,65.7,Type_C,0
PROD_00122,192.6,40.3,108.4,64.2,Type_A,0
PROD_00123,197.1,38.3,103.7,98.6,Type_C,0
PROD_00124,208.7,52.1,57.7,50.3,Type_A,0
PROD_00125,193.1,43.2,43.7,,Type_B,0
PROD_00126,154.0,49.5,73.5,56.0,Type_A,0
PROD_00127,176.3,35.6,85.7,73.8,Type_A,0
PROD_00128,186.3,32.6,148.2,53.4,Type_A,1
PROD_00129,197.5,57.9,112.2,100.0,Type_B,0
PROD_00130,187.7,44.6,88.8,75.9,Type_B,0
PROD_00131,175.0,51.3,123.2,67.2,Type_A,0
PROD_00132,177.6,57.1,122.1,78.1,Type_B,0
PROD_00133,193.3,55.5,73.4,75.2,Type_B,0
PROD_00134,202.4,46.7,108.7,88.3,Type_C,0
PROD_00135,186.9,37.2,102.4,67.2,Type_B,0
PROD_00136,165.2,43.9,99.4,64.7,Type_B,0
PROD_00137,214.7,32.2,88.5,52.5,Type_C,0
PROD_00138,177.0,51.2,88.9,72.1,Type_A,0
PROD_00139,168.6,42.7,101.4,64.5,Type_A,0
PROD_00140,156.2,62.4,114.4,47.3,Type_A,0
PROD_00141,185.3,38.5,127.2,77.9,Type_A,0
PROD_00142,219.3,53.2,114.0,82.9,Type_C,0
PROD_00143,180.9,36.2,95.9,80.2,Type_C,0
PROD_00144,191.9,73.4,89.6,84.2,Type_B,0
PROD_00145,204.7,59.4,117.6,68.7,Type_A,0
PROD_00146,180.5,57.5,131.4,72.4,Type_B,0
PROD_00147,165.7,46.4,119.8,63.9,Type_B,0
PROD_00148,149.8,44.8,114.5,,Type_A,0
PROD_00149,172.3,46.3,106.0,76.6,Type_C,0
PROD_00150,183.3,30.4,38.8,,Type_A,0
PROD_00151,203.4,63.7,116.8,70.7,Type_B,1
PROD_00152,188.5,39.5,82.9,88.9,Type_B,1
PROD_00153,184.4,53.3,84.4,76.0,Type_A,0
PROD_00154,187.2,64.2,114.8,48.0,Type_C,1
PROD_00155,171.7,48.5,141.4,76.5,Type_B,0
PROD_00156,139.3,54.6,112.0,78.5,Type_A,0
PROD_00157,202.9,45.4,119.3,83.5,Type_A,0
PROD_00158,206.9,54.5,135.7,74.3,Type_A,0
PROD_00159,188.7,43.5,80.3,85.0,Type_C,0
PROD_00160,211.7,48.7,124.7,80.7,Type_A,0
PROD_00161,205.5,44.1,111.2,,Type_B,0
PROD_00162,175.9,42.3,127.5,83.0,Type_C,0
PROD_00163,154.5,63.9,107.1,69.6,Type_B,0
PROD_00164,188.5,47.7,132.3,77.2,Type_B,0
PROD_00165,171.1,30.4,134.2,82.5,Type_C,1
PROD_00166,208.1,44.1,63.3,83.6,Type_A,0
PROD_00167,176.3,50.0,103.8,82.0,Type_A,0
PROD_00168,198.5,51.4,124.4,82.6,Type_A,0
PROD_00169,160.7,38.9,106.7,92.7,Type_B,0
PROD_00170,120.0,21.9,76.2,92.1,Type_A,0
PROD_00171,158.0,52.2,135.2,81.2,Type_B,0
PROD_00172,164.2,44.2,112.5,79.2,Type_A,0
PROD_00173,205.6,48.8,116.3,70.8,Type_C,0
PROD_00174,183.0,32.5,90.9,93.4,Type_A,0
PROD_00175,145.3,36.4,97.4,57.0,Type_B,1
PROD_00176,173.1,57.8,119.3,88.7,Type_B,0
PROD_00177,182.5,39.9,70.9,78.0,Type_B,0
PROD_00178,185.9,51.3,101.9,83.9,Type_C,0
PROD_00179,147.8,57.6,124.7,71.1,Type_C,0
PROD_00180,138.7,43.9,61.5,78.5,Type_A,0
PROD_00181,213.2,74.5,80.4,77.1,Type_C,0
PROD_00182,196.5,45.6,100.0,87.2,Type_C,0
PROD_00183,206.0,40.3,87.2,80.9,Type_C,0
PROD_00184,167.4,48.3,84.8,67.8,Type_A,1
PROD_00185,206.5,57.1,103.9,95.5,Type_C,0
PROD_00186,191.1,42.9,126.1,79.2,Type_B,0
PROD_00187,186.1,45.4,103.6,67.1,Type_B,0
PROD_00188,131.7,59.9,64.7,71.9,Type_C,0
PROD_00189,199.2,49.4,101.7,47.9,Type_C,1
PROD_00190,193.9,44.8,57.9,61.3,Type_A,0
PROD_00191,182.9,58.2,97.8,90.1,Type_C,0
PROD_00192,179.7,28.4,80.4,81.7,Type_C,0
PROD_00193,191.9,64.6,98.1,82.4,Type_C,0
PROD_00194,153.7,29.7,82.7,74.1,Type_A,0
PROD_00195,208.4,61.5,107.2,72.0,Type_B,0
PROD_00196,178.7,60.0,104.2,82.2,Type_A,0
PROD_00197,134.8,40.2,119.6,72.3,Type_A,0
PROD_00198,206.5,55.1,106.2,71.5,Type_A,1
PROD_00199,178.9,46.0,129.6,70.5,Type_A,0
PROD_00200,214.5,50.5,75.8,88.4,Type_C,0
PROD_00201,158.5,66.4,67.5,55.6,Type_A,0
PROD_00202,194.2,53.2,141.1,82.2,Type_B,0
PROD_00203,197.1,60.0,106.3,81.0,Type_C,0
PROD_00204,195.4,49.6,99.8,62.1,Type_C,0
PROD_00205,188.0,30.7,78.4,80.3,Type_B,0
PROD_00206,181.8,30.6,125.8,71.5,Type_C,0
PROD_00207,175.1,44.9,95.7,89.9,Type_A,0
