Member_ID,Gender,Age,Locker_Rental,Visit_Frequency,Duration_Minutes
MEM_11499,Female,33,Yes,23,139.3
MEM_06475,Male,59,No,8,123.4
MEM_13167,Female,31,No,21,72.1
MEM_00862,Male,27,Yes,7,44.4
MEM_05970,Male,47,No,5,145.1
MEM_06706,Male,28,No,5,106.6
MEM_03017,Male,34,No,0,32.8
MEM_03781,Female,40,No,7,123.3
MEM_03898,Male,39,Yes,4,129.2
MEM_02250,Female,35,Yes,4,18.9
MEM_00542,Male,37,Yes,5,15.2
MEM_04351,Female,63,No,5,133.0
MEM_12807,Male,60,No,24,136.9
MEM_06631,Female,49,No,8,144.5
MEM_06705,Male,44,No,5,124.4
MEM_06978,Male,31,Yes,1,115.9
MEM_07399,Female,19,Yes,8,112.5
MEM_11119,Female,51,No,22,40.5
MEM_12665,Female,24,Yes,21,150.6
MEM_05304,Male,38,No,3,110.8
MEM_02312,Female,37,No,4,26.3
MEM_07040,Male,43,Yes,5,136.5
MEM_01889,Female,55,Yes,4,32.3
MEM_08991,Female,51,Yes,25,36.4
MEM_00169,Male,21,No,2,29.4
MEM_01795,Female,22,No,2,13.3
MEM_03975,Female,52,No,3,158.5
MEM_06820,Female,19,Yes,2,107.6
MEM_07826,Male,44,No,20,52.3
MEM_11809,Female,53,No,22,124.5
MEM_01039,Male,52,No,6,28.3
MEM_02848,Female,34,Yes,3,12.3
MEM_03371,Female,36,No,2,21.6
MEM_08829,Female,34,No,28,38.4
MEM_10349,Male,55,No,16,26.7
MEM_08797,Female,54,No,19,31.8
MEM_00764,Male,34,No,6,28.2
MEM_01593,Male,59,No,6,24.4
MEM_14232,Male,23,No,23,118.4
MEM_05872,Female,37,No,6,134.3
MEM_09940,Female,32,No,22,38.4
MEM_05169,Female,62,Yes,8,97.6
MEM_10909,Male,30,No,22,38.8
MEM_04122,Male,21,No,12,126.7
MEM_12948,Female,45,No,19,65.2
MEM_14482,Female,19,Yes,24,101.5
MEM_00149,Female,21,No,5,33.8
MEM_11736,Female,39,No,26,101.6
MEM_00387,Male,28,Yes,8,33.4
MEM_03946,Male,26,No,8,122.2
MEM_13402,Male,37,No,22,99.8
MEM_01373,Male,57,No,1,29.3
MEM_02884,Female,41,No,0,22.4
MEM_14042,Female,23,Yes,21,153.0
MEM_11360,Female,60,No,24,113.3
MEM_02991,Female,56,Yes,5,26.1
MEM_11595,Male,46,Yes,23,123.9
MEM_10581,Male,43,No,15,45.4
MEM_14867,Female,54,No,18,102.6
MEM_14424,Female,49,No,21,105.5
MEM_03024,Female,56,No,0,19.0
MEM_00251,Female,19,No,6,29.7
MEM_12146,Female,35,No,25,81.0
MEM_11438,Female,30,No,20,113.6
MEM_07092,Female,31,No,4,154.4
MEM_00932,Female,60,No,1,44.7
MEM_07217,Male,55,Yes,4,124.2
MEM_03684,Female,51,No,5,25.5
MEM_08368,Female,25,No,22,37.3
MEM_09478,Male,48,No,20,60.4
MEM_11724,Male,23,Yes,28,141.3
MEM_07417,Male,21,No,8,167.2
MEM_10504,Male,28,Yes,25,56.5
MEM_10515,Female,21,No,20,50.1
MEM_13509,Male,28,Yes,21,106.3
MEM_07172,Female,40,Yes,9,139.9
MEM_03328,Female,26,No,2,35.6
MEM_05023,Male,44,Yes,7,118.9
MEM_02214,Male,29,No,3,43.7
MEM_02216,Male,49,Yes,3,38.5
MEM_14795,Female,39,Yes,24,109.0
MEM_02859,Male,28,No,4,32.0
MEM_04024,Male,21,No,8,113.6
MEM_02760,Male,35,No,5,45.5
MEM_03290,Female,32,Yes,7,37.7
