Character_ID,Weapon_Type,Movement_Speed,Attack_Power,Defense_Power
CHAR_01935,Sword,132,12,23.0
CHAR_06494,Shield,107,86,14.0
CHAR_01720,Sword,142,23,25.0
CHAR_09120,Shield,148,60,63.0
CHAR_00360,Staff,55,23,14.0
CHAR_09663,Staff,65,54,56.0
CHAR_05277,Sword,53,25,85.0
CHAR_08546,Shield,50,88,20.0
CHAR_02221,Sword,120,17,20.0
CHAR_04617,Sword,95,29,83.0
CHAR_03465,Staff,136,25,78.0
CHAR_01408,Bow,56,18,23.0
CHAR_00468,Sword,97,17,18.0
CHAR_01175,Sword,128,19,22.0
CHAR_05224,Sword,131,26,90.0
CHAR_08128,Sword,63,87,19.0
CHAR_00424,Shield,108,23,11.0
CHAR_07047,Sword,72,88,12.0
CHAR_02483,Shield,52,16,20.0
CHAR_01825,Sword,81,22,21.0
CHAR_10557,Staff,108,60,56.0
CHAR_01483,Sword,91,18,23.0
CHAR_09290,Sword,121,59,47.0
CHAR_09709,Shield,119,60,50.0
CHAR_01650,Shield,88,23,19.0
CHAR_09786,Bow,114,59,51.0
CHAR_02813,Bow,123,18,16.0
CHAR_03704,Bow,95,19,88.0
CHAR_06118,Staff,131,80,16.0
CHAR_05042,Staff,129,11,84.0
CHAR_11208,Bow,101,40,52.0
CHAR_07238,Sword,90,89,27.0
CHAR_11505,Staff,59,55,58.0
CHAR_11074,Sword,104,52,38.0
CHAR_10996,Bow,122,65,57.0
CHAR_04999,Staff,106,32,83.0
CHAR_08480,Staff,109,80,25.0
CHAR_09267,Shield,69,61,
CHAR_08398,Sword,98,87,14.0
CHAR_02631,Bow,138,22,24.0
CHAR_03131,Shield,119,17,97.0
CHAR_09583,Sword,78,54,72.0
CHAR_08218,Shield,60,90,19.0
CHAR_09276,Shield,137,51,60.0
CHAR_03813,Staff,55,7,92.0
CHAR_05886,Shield,85,22,84.0
CHAR_05082,Staff,63,17,88.0
CHAR_11815,Bow,54,56,72.0
CHAR_08823,Staff,83,88,15.0
CHAR_01217,Shield,69,21,18.0
CHAR_03991,Shield,84,26,86.0
CHAR_11147,Sword,61,47,62.0
CHAR_07615,Shield,89,86,10.0
CHAR_10691,Shield,119,56,57.0
CHAR_10184,Bow,109,50,56.0
CHAR_01683,Staff,78,22,17.0
CHAR_04574,Sword,112,16,78.0
CHAR_11540,Staff,67,58,58.0
CHAR_10750,Bow,51,61,53.0
CHAR_11283,Bow,116,53,54.0
CHAR_07562,Shield,110,74,15.0
CHAR_05903,Sword,117,21,79.0
CHAR_02582,Bow,58,20,28.0
CHAR_03002,Sword,143,14,88.0
CHAR_10043,Sword,77,54,54.0
CHAR_02087,Sword,98,19,23.0
CHAR_08928,Shield,70,75,33.0
CHAR_04148,Staff,69,28,75.0
CHAR_00135,Staff,63,28,22.0
CHAR_09917,Sword,116,55,53.0
CHAR_01743,Staff,109,26,22.0
CHAR_07341,Staff,98,81,28.0
CHAR_10874,Shield,117,55,62.0
CHAR_03707,Sword,107,20,91.0
CHAR_05470,Staff,90,20,93.0
CHAR_00700,Sword,145,17,25.0
CHAR_08557,Bow,111,93,20.0
CHAR_11715,Bow,74,59,56.0
CHAR_01608,Sword,141,22,23.0
CHAR_05863,Shield,100,10,95.0
CHAR_00429,Sword,83,11,26.0
CHAR_04023,Sword,115,20,85.0
CHAR_06688,Shield,120,92,22.0
CHAR_04100,Shield,103,19,93.0
CHAR_08875,Shield,87,83,15.0
CHAR_08514,Staff,130,84,14.0
CHAR_09649,Staff,53,55,55.0
CHAR_02270,Sword,102,22,26.0
CHAR_07692,Staff,63,96,20.0
CHAR_00070,Bow,108,22,14.0
CHAR_05720,Sword,68,18,84.0
CHAR_10747,Staff,114,61,45.0
CHAR_10152,Sword,115,51,52.0
CHAR_11957,Shield,52,66,47.0
CHAR_09137,Bow,84,56,46.0
CHAR_02019,Shield,114,14,22.0
CHAR_09836,Sword,64,42,52.0
CHAR_11351,Bow,121,58,45.0
CHAR_06702,Bow,54,79,14.0
CHAR_04029,Shield,104,22,85.0
CHAR_07759,Sword,119,84,18.0
CHAR_11690,Sword,89,56,47.0
CHAR_08483,Sword,106,87,17.0
CHAR_03858,Shield,61,16,88.0
CHAR_00744,Shield,74,23,15.0
CHAR_01383,Sword,134,17,21.0
CHAR_05643,Shield,147,21,67.0
CHAR_08685,Sword,52,89,24.0
CHAR_10613,Staff,143,58,55.0
CHAR_00149,Bow,94,21,16.0
CHAR_11879,Shield,95,60,47.0
CHAR_00811,Shield,143,18,22.0
CHAR_05900,Staff,126,19,89.0
CHAR_04328,Sword,57,12,88.0
CHAR_06373,Sword,126,79,21.0
CHAR_03995,Bow,81,18,93.0
CHAR_04382,Shield,138,18,79.0
CHAR_01730,Staff,83,19,14.0
CHAR_04359,Staff,126,32,86.0
CHAR_05027,Sword,61,20,76.0
CHAR_01793,Sword,89,23,21.0
CHAR_09079,Sword,144,56,48.0
CHAR_05466,Shield,106,24,83.0
CHAR_11127,Bow,108,55,46.0
CHAR_08486,Staff,97,85,18.0
CHAR_01121,Shield,117,26,19.0
CHAR_04618,Staff,89,12,93.0
CHAR_05937,Shield,142,33,82.0
CHAR_09527,Sword,135,55,55.0
CHAR_02034,Sword,146,25,24.0
CHAR_03126,Bow,87,27,88.0
CHAR_11064,Staff,83,43,66.0
CHAR_11822,Bow,117,49,47.0
CHAR_03827,Bow,69,20,81.0
CHAR_04367,Bow,99,17,88.0
CHAR_05297,Staff,85,22,82.0
CHAR_03210,Sword,101,26,76.0
CHAR_09928,Sword,51,52,62.0
CHAR_02698,Bow,88,23,19.0
CHAR_08045,Shield,75,80,14.0
CHAR_04279,Staff,61,25,92.0
CHAR_00373,Sword,88,25,29.0
CHAR_00624,Staff,66,28,29.0
CHAR_11617,Shield,117,56,68.0
CHAR_06096,Staff,139,93,19.0
CHAR_04983,Sword,120,31,88.0
CHAR_03488,Bow,71,22,82.0
CHAR_11979,Staff,121,45,53.0
CHAR_02036,Shield,74,22,31.0
CHAR_08388,Staff,130,86,30.0
CHAR_00747,Sword,148,16,21.0
CHAR_09037,Staff,140,59,54.0
CHAR_09145,Staff,69,56,48.0
CHAR_04447,Bow,135,17,79.0
CHAR_11019,Sword,81,68,46.0
CHAR_06743,Shield,139,83,22.0
CHAR_07502,Bow,64,90,16.0
CHAR_03100,Sword,102,16,83.0
CHAR_03299,Bow,133,16,79.0
CHAR_06245,Sword,97,100,13.0
CHAR_08292,Sword,134,80,23.0
CHAR_07566,Bow,61,89,15.0
CHAR_03431,Sword,137,4,80.0
CHAR_07118,Sword,115,75,16.0
CHAR_06805,Bow,75,74,26.0
CHAR_01261,Bow,53,20,19.0
CHAR_00647,Shield,79,20,21.0
CHAR_00019,Staff,141,13,23.0
CHAR_05608,Shield,107,5,77.0
CHAR_02145,Sword,98,27,21.0
CHAR_06920,Bow,94,78,21.0
CHAR_05922,Shield,127,13,86.0
CHAR_09411,Shield,64,59,56.0
CHAR_02791,Sword,149,17,7.0
CHAR_04954,Sword,139,28,81.0
CHAR_06727,Staff,138,83,6.0
CHAR_01905,Shield,91,22,25.0
CHAR_02021,Bow,116,21,16.0
CHAR_05357,Shield,115,15,89.0
CHAR_03501,Shield,100,13,93.0
CHAR_01369,Shield,95,16,21.0
CHAR_04767,Shield,88,10,94.0
CHAR_01368,Shield,84,18,17.0
CHAR_09373,Bow,75,43,66.0
CHAR_09784,Sword,67,53,60.0
CHAR_01941,Sword,56,18,19.0
CHAR_07588,Sword,72,81,29.0
CHAR_01978,Staff,90,16,22.0
CHAR_08726,Shield,88,87,24.0
CHAR_05364,Shield,105,25,84.0
CHAR_03366,Sword,59,19,83.0
CHAR_06618,Staff,77,87,35.0
CHAR_07113,Sword,73,84,19.0
CHAR_05046,Staff,68,16,94.0
CHAR_03889,Bow,145,19,78.0
CHAR_03372,Bow,115,27,81.0
CHAR_04553,Bow,60,13,76.0
CHAR_11192,Shield,59,53,60.0
CHAR_03045,Staff,123,18,76.0
CHAR_04810,Staff,114,23,81.0
CHAR_02333,Sword,97,18,26.0
CHAR_00839,Sword,120,19,18.0
CHAR_05262,Bow,60,19,85.0
CHAR_08516,Bow,146,91,20.0
CHAR_10904,Sword,76,59,49.0
CHAR_01434,Bow,96,19,17.0
CHAR_03857,Bow,108,18,83.0
CHAR_04601,Staff,149,17,81.0
CHAR_02673,Sword,95,17,34.0
CHAR_05180,Shield,116,1,65.0
CHAR_00487,Staff,101,15,23.0
CHAR_05517,Sword,54,28,90.0
CHAR_00533,Shield,140,14,14.0
