Booking_ID,Lead_Time,Room_Price,Special_Requests,Deposit_Type,Customer_Type,Is_Canceled
BKG_00000,103,194712.0,1,No_Deposit,Group,1
BKG_00001,271,111684.0,1,Non_Refund,Transient,0
BKG_00002,107,136773.0,0,Non_Refund,Group,0
BKG_00003,72,168288.0,0,Refundable,Corporate,0
BKG_00004,189,52922.0,0,No_Deposit,Group,0
BKG_00005,21,50000.0,1,Non_Refund,Transient,0
BKG_00006,103,167306.0,1,No_Deposit,Transient,0
BKG_00007,122,174601.0,2,No_Deposit,Transient,0
BKG_00008,215,253211.0,0,Non_Refund,Group,0
BKG_00009,88,157905.0,2,Non_Refund,Corporate,0
BKG_00010,100,190987.0,1,No_Deposit,Transient,0
BKG_00011,152,140226.0,0,Non_Refund,Transient,0
BKG_00012,131,164861.0,0,No_Deposit,Group,0
BKG_00013,150,233363.0,0,No_Deposit,Group,1
BKG_00014,258,50000.0,3,No_Deposit,Corporate,0
BKG_00015,294,170681.0,0,Non_Refund,Corporate,0
BKG_00016,192,256779.0,0,Refundable,Transient,1
BKG_00017,277,164102.0,0,Non_Refund,Transient,0
BKG_00018,161,232529.0,2,No_Deposit,Group,0
BKG_00019,22,118539.0,0,No_Deposit,Corporate,0
BKG_00020,253,148398.0,0,No_Deposit,Corporate,0
BKG_00021,236,151676.0,0,No_Deposit,Transient,0
BKG_00022,49,50000.0,0,No_Deposit,Transient,1
BKG_00023,59,91591.0,0,No_Deposit,Transient,0
BKG_00024,170,95156.0,1,No_Deposit,Transient,0
BKG_00025,188,191103.0,2,Non_Refund,Transient,0
BKG_00026,271,193608.0,2,No_Deposit,Group,1
BKG_00027,190,166202.0,1,Non_Refund,Corporate,0
BKG_00028,175,191205.0,0,No_Deposit,Transient,0
BKG_00029,51,141793.0,1,No_Deposit,Transient,0
BKG_00030,55,210097.0,0,No_Deposit,Group,0
BKG_00031,244,150439.0,0,No_Deposit,Transient,0
BKG_00032,131,152893.0,2,No_Deposit,Corporate,0
BKG_00033,135,136720.0,2,No_Deposit,Transient,0
BKG_00034,21,184223.0,1,Non_Refund,Transient,0
BKG_00035,167,128940.0,2,Refundable,Transient,0
BKG_00036,274,198822.0,3,No_Deposit,Transient,0
BKG_00037,89,93393.0,1,No_Deposit,Transient,0
BKG_00038,14,95054.0,1,Refundable,Corporate,0
BKG_00039,242,184371.0,1,Non_Refund,Corporate,0
BKG_00040,265,145573.0,0,No_Deposit,Group,0
BKG_00041,53,,0,Non_Refund,Group,0
BKG_00042,92,194503.0,1,No_Deposit,Transient,0
BKG_00043,264,119637.0,0,No_Deposit,Transient,0
BKG_00044,35,139990.0,0,No_Deposit,Corporate,0
BKG_00045,206,219961.0,0,No_Deposit,Transient,0
BKG_00046,81,226957.0,0,No_Deposit,Group,1
BKG_00047,50,228620.0,3,No_Deposit,Transient,0
BKG_00048,2,135894.0,1,Non_Refund,Group,0
BKG_00049,54,211535.0,1,No_Deposit,Group,0
BKG_00050,106,102552.0,3,No_Deposit,Transient,0
BKG_00051,260,104655.0,2,No_Deposit,Transient,0
BKG_00052,191,50000.0,1,No_Deposit,Transient,1
BKG_00053,218,233643.0,2,No_Deposit,Transient,0
BKG_00054,44,106801.0,0,Non_Refund,Corporate,0
BKG_00055,162,143673.0,0,Non_Refund,Transient,0
BKG_00056,202,104484.0,0,No_Deposit,Transient,0
BKG_00057,270,184758.0,1,No_Deposit,Group,0
BKG_00058,271,131218.0,1,Non_Refund,Group,0
BKG_00059,215,84759.0,1,No_Deposit,Transient,1
BKG_00060,252,172083.0,1,No_Deposit,Group,0
BKG_00061,190,78313.0,0,No_Deposit,Transient,1
BKG_00062,296,108130.0,0,Refundable,Group,1
BKG_00063,213,50000.0,1,No_Deposit,Transient,0
BKG_00064,208,78802.0,0,Refundable,Group,0
BKG_00065,237,158926.0,1,No_Deposit,Corporate,0
BKG_00066,53,51773.0,1,No_Deposit,Transient,0
BKG_00067,280,75943.0,1,No_Deposit,Transient,0
BKG_00068,217,149882.0,0,No_Deposit,Transient,0
BKG_00069,252,122820.0,1,No_Deposit,Corporate,0
BKG_00070,188,249602.0,2,No_Deposit,Group,0
BKG_00071,41,241695.0,3,No_Deposit,Corporate,0
BKG_00072,157,106604.0,2,No_Deposit,Group,1
BKG_00073,15,177857.0,1,Non_Refund,Corporate,0
BKG_00074,65,187464.0,0,Non_Refund,Group,0
BKG_00075,9,120126.0,1,Refundable,Corporate,0
BKG_00076,129,75223.0,2,Non_Refund,Transient,0
BKG_00077,136,149385.0,0,No_Deposit,Corporate,0
BKG_00078,63,141358.0,0,No_Deposit,Transient,0
BKG_00079,139,128212.0,0,Non_Refund,Group,0
BKG_00080,81,172116.0,1,No_Deposit,Transient,0
BKG_00081,163,112464.0,0,No_Deposit,Transient,1
BKG_00082,289,92400.0,0,Non_Refund,Transient,0
BKG_00083,261,155454.0,2,No_Deposit,Corporate,0
BKG_00084,231,169299.0,1,Refundable,Transient,0
BKG_00085,41,91168.0,0,No_Deposit,Group,1
BKG_00086,28,196405.0,0,No_Deposit,Transient,0
BKG_00087,135,61476.0,0,Non_Refund,Transient,0
BKG_00088,201,121094.0,0,No_Deposit,Transient,0
BKG_00089,268,137100.0,0,Refundable,Transient,0
BKG_00090,33,118189.0,1,Refundable,Transient,0
BKG_00091,48,121747.0,1,No_Deposit,Transient,0
BKG_00092,62,243554.0,1,No_Deposit,Transient,0
BKG_00093,216,107456.0,0,No_Deposit,Transient,1
BKG_00094,293,272061.0,1,No_Deposit,Transient,0
BKG_00095,99,171856.0,2,Non_Refund,Corporate,0
BKG_00096,172,154603.0,0,No_Deposit,Transient,1
BKG_00097,214,173812.0,0,No_Deposit,Transient,0
BKG_00098,35,276496.0,1,No_Deposit,Transient,0
BKG_00099,227,100320.0,1,No_Deposit,Transient,0
BKG_00100,101,93979.0,0,Non_Refund,Transient,0
BKG_00101,131,112257.0,1,No_Deposit,Corporate,0
BKG_00102,257,151607.0,1,No_Deposit,Group,0
BKG_00103,5,63711.0,2,No_Deposit,Transient,0
BKG_00104,218,151117.0,0,Non_Refund,Transient,0
BKG_00105,255,234677.0,1,Non_Refund,Transient,0
BKG_00106,283,157570.0,0,Non_Refund,Transient,0
BKG_00107,207,135366.0,1,No_Deposit,Transient,0
BKG_00108,15,119092.0,1,No_Deposit,Transient,0
BKG_00109,42,194926.0,0,Refundable,Group,0
BKG_00110,179,108708.0,2,Refundable,Transient,1
BKG_00111,63,242320.0,0,No_Deposit,Transient,1
BKG_00112,231,246668.0,1,Non_Refund,Corporate,0
BKG_00113,241,162838.0,0,Refundable,Transient,1
BKG_00114,52,149424.0,1,No_Deposit,Transient,0
BKG_00115,96,201533.0,0,No_Deposit,Corporate,0
BKG_00116,222,204740.0,2,No_Deposit,Transient,0
BKG_00117,231,109700.0,2,Refundable,Group,0
BKG_00118,237,123672.0,2,No_Deposit,Transient,0
BKG_00119,143,83883.0,0,Non_Refund,Transient,0
BKG_00120,171,170453.0,1,No_Deposit,Corporate,0
BKG_00121,29,183331.0,0,No_Deposit,Transient,0
BKG_00122,36,82504.0,2,No_Deposit,Transient,0
BKG_00123,13,127240.0,1,Refundable,Transient,0
BKG_00124,160,82637.0,1,No_Deposit,Group,0
BKG_00125,187,105060.0,1,No_Deposit,Corporate,0
BKG_00126,243,177551.0,0,Refundable,Transient,0
BKG_00127,86,113326.0,1,No_Deposit,Corporate,0
