Game_ID,Avg_Play_Minutes,Update_Count,Item_Count,Rating,Genre,Hit
RBX_00000,27.7,33,134,3.4,RPG,0
RBX_00001,32.9,35,15,,Simulation,0
RBX_00002,18.0,26,224,3.1,RPG,0
RBX_00003,29.9,28,269,3.9,Simulation,1
RBX_00004,30.6,24,240,2.8,Action,1
RBX_00005,2.0,33,76,2.3,Tycoon,1
RBX_00006,28.3,43,5,2.5,Action,0
RBX_00007,6.1,50,78,1.9,RPG,0
RBX_00008,43.8,23,246,3.6,Action,1
RBX_00009,16.3,6,266,2.9,Action,0
RBX_00010,28.7,32,64,3.0,RPG,0
RBX_00011,39.0,16,279,2.3,Tycoon,1
RBX_00012,12.4,13,153,5.0,Simulation,0
RBX_00013,13.3,48,94,3.2,Action,1
RBX_00014,17.3,21,276,,Tycoon,0
RBX_00015,45.4,35,170,4.3,Simulation,1
RBX_00016,9.6,8,61,2.5,Tycoon,0
RBX_00017,22.7,24,174,4.1,Simulation,1
RBX_00018,24.1,36,176,3.0,Tycoon,1
RBX_00019,23.1,23,270,4.0,Tycoon,1
RBX_00020,23.7,25,48,3.5,Simulation,1
RBX_00021,16.6,5,175,2.9,Action,1
RBX_00022,12.9,46,273,2.9,RPG,1
RBX_00023,20.3,4,35,3.5,Tycoon,1
RBX_00024,2.0,44,53,4.9,Action,1
RBX_00025,46.1,38,27,2.9,RPG,1
RBX_00026,15.7,24,246,4.0,Action,0
RBX_00027,18.6,32,29,2.7,Tycoon,0
RBX_00028,15.5,36,50,4.0,Action,0
RBX_00029,28.5,3,208,4.1,Tycoon,1
RBX_00030,10.3,41,258,3.3,Action,1
RBX_00031,6.2,0,166,2.9,Simulation,0
RBX_00032,29.8,19,276,2.7,RPG,0
RBX_00033,24.5,37,141,2.8,Tycoon,1
RBX_00034,14.0,0,6,4.8,Action,0
RBX_00035,38.4,31,298,2.1,Action,1
RBX_00036,27.4,6,69,3.5,Action,1
RBX_00037,28.3,7,243,3.1,Action,1
RBX_00038,14.5,32,234,2.2,Tycoon,0
RBX_00039,11.8,2,124,2.9,Tycoon,0
RBX_00040,22.4,41,15,5.0,Tycoon,1
RBX_00041,12.6,34,252,2.9,Action,1
RBX_00042,23.0,26,263,1.8,Simulation,0
RBX_00043,31.7,18,30,4.3,Tycoon,1
RBX_00044,34.8,16,275,3.7,Tycoon,1
RBX_00045,23.5,12,79,4.8,Simulation,1
RBX_00046,23.2,26,283,4.4,RPG,1
RBX_00047,25.9,25,260,3.2,Simulation,0
RBX_00048,25.2,42,27,4.0,Action,1
RBX_00049,11.6,7,253,3.3,Tycoon,1
RBX_00050,4.3,11,238,3.6,RPG,0
RBX_00051,35.7,8,227,,Tycoon,0
RBX_00052,19.7,36,65,4.7,Action,1
RBX_00053,17.3,37,103,4.4,Action,1
RBX_00054,30.1,6,294,2.9,Action,1
RBX_00055,35.0,36,38,4.4,RPG,1
RBX_00056,38.0,33,118,3.2,Action,1
RBX_00057,23.3,22,236,4.1,Simulation,0
RBX_00058,8.1,6,26,2.5,Simulation,0
RBX_00059,38.9,3,84,2.8,Simulation,0
RBX_00060,13.1,27,163,3.2,Tycoon,1
RBX_00061,26.3,6,61,,Action,1
RBX_00062,18.5,15,176,3.5,Tycoon,1
RBX_00063,32.4,14,186,4.1,RPG,0
RBX_00064,59.9,18,16,2.2,RPG,1
RBX_00065,45.0,12,84,2.4,Action,1
RBX_00066,30.9,14,58,3.1,Action,1
RBX_00067,21.7,4,111,5.0,RPG,0
RBX_00068,32.2,28,31,3.9,Simulation,0
RBX_00069,23.7,1,86,3.6,Simulation,0
RBX_00070,23.9,9,125,4.0,Simulation,0
RBX_00071,42.8,50,236,3.9,Action,1
RBX_00072,20.8,26,196,2.9,Simulation,0
RBX_00073,39.3,10,153,2.7,Tycoon,1
RBX_00074,27.3,12,219,5.0,Action,1
RBX_00075,23.9,49,230,3.4,Action,1
RBX_00076,23.3,45,129,2.5,Tycoon,1
RBX_00077,27.2,49,181,4.2,RPG,1
RBX_00078,27.0,43,160,3.4,RPG,0
RBX_00079,14.2,1,131,3.4,Tycoon,0
RBX_00080,32.3,21,192,3.2,RPG,0
RBX_00081,42.7,48,117,3.3,Action,1
RBX_00082,36.5,38,209,3.3,Tycoon,1
RBX_00083,26.8,32,252,4.3,Tycoon,1
RBX_00084,37.7,48,116,3.7,Tycoon,1
RBX_00085,16.2,17,36,4.4,Tycoon,0
RBX_00086,16.7,6,216,2.2,Action,0
RBX_00087,13.8,50,292,3.9,RPG,1
RBX_00088,13.9,30,144,3.3,Action,1
RBX_00089,15.0,22,162,,Tycoon,1
RBX_00090,25.4,30,231,3.4,Simulation,1
RBX_00091,23.4,11,68,3.5,Simulation,0
RBX_00092,20.0,22,31,4.0,Simulation,1
RBX_00093,32.5,35,36,3.8,Tycoon,1
RBX_00094,22.5,18,87,3.6,RPG,1
RBX_00095,37.7,48,277,3.4,Tycoon,1
RBX_00096,44.1,21,278,3.5,Tycoon,1
RBX_00097,18.8,23,115,4.5,Tycoon,1
RBX_00098,47.7,38,148,4.4,RPG,1
RBX_00099,22.4,50,129,2.8,Action,0
RBX_00100,24.0,28,77,2.9,Tycoon,1
RBX_00101,34.3,25,171,3.1,RPG,0
RBX_00102,5.6,22,96,2.8,Tycoon,0
RBX_00103,10.1,1,6,2.5,Action,0
RBX_00104,23.4,0,266,4.7,Action,0
RBX_00105,24.0,44,52,3.4,RPG,0
RBX_00106,4.0,14,63,3.4,Action,0
RBX_00107,31.7,46,28,4.0,Tycoon,1
RBX_00108,18.7,37,261,2.8,Simulation,1
RBX_00109,28.4,18,206,2.8,Tycoon,1
RBX_00110,18.7,2,264,3.1,Tycoon,1
RBX_00111,40.0,0,7,3.2,Simulation,0
RBX_00112,15.1,42,206,4.0,Action,1
RBX_00113,14.4,33,211,3.7,Tycoon,1
RBX_00114,2.0,15,131,4.4,Simulation,0
RBX_00115,24.8,1,56,4.0,Simulation,0
RBX_00116,34.2,32,65,3.9,Simulation,1
RBX_00117,43.1,17,169,3.5,Action,0
RBX_00118,24.6,43,284,4.6,RPG,1
RBX_00119,30.8,41,116,2.9,Simulation,1
RBX_00120,14.8,50,125,2.6,RPG,1
RBX_00121,33.2,16,214,4.4,RPG,1
RBX_00122,33.4,3,137,4.5,Tycoon,1
RBX_00123,27.9,7,40,2.6,Simulation,0
RBX_00124,12.5,41,268,,Action,1
RBX_00125,11.4,39,159,4.1,Simulation,0
RBX_00126,34.6,38,263,2.3,Simulation,0
RBX_00127,3.5,13,293,,Tycoon,1
RBX_00128,43.3,12,218,4.3,Action,1
RBX_00129,6.1,34,139,3.4,Action,0
RBX_00130,33.4,3,191,4.0,Simulation,0
RBX_00131,2.0,21,243,2.9,Tycoon,0
RBX_00132,28.7,25,189,4.6,Action,1
RBX_00133,38.9,5,132,3.8,Simulation,0
RBX_00134,36.5,48,227,4.4,RPG,1
RBX_00135,46.9,44,185,3.8,Action,1
RBX_00136,47.2,24,102,3.7,RPG,1
RBX_00137,20.8,19,276,2.2,Action,1
RBX_00138,6.6,41,47,5.0,RPG,1
RBX_00139,21.8,10,258,2.2,RPG,0
RBX_00140,6.2,17,131,4.6,Action,1
RBX_00141,29.5,21,199,4.5,Simulation,1
RBX_00142,10.8,17,231,4.9,RPG,1
RBX_00143,16.8,3,292,3.6,Action,1
RBX_00144,11.7,46,137,2.8,Action,0
RBX_00145,21.5,25,68,3.5,Action,1
RBX_00146,24.7,23,181,5.0,Simulation,1
RBX_00147,28.4,15,218,2.0,RPG,0
RBX_00148,43.7,36,184,3.9,Simulation,1
RBX_00149,27.6,47,278,3.9,Tycoon,1
RBX_00150,26.9,39,185,4.4,Tycoon,1
RBX_00151,28.6,35,188,3.6,Tycoon,1
RBX_00152,47.8,16,164,3.6,Tycoon,1
RBX_00153,47.1,38,158,4.1,Action,1
RBX_00154,22.6,0,218,3.3,RPG,0
RBX_00155,28.7,27,203,3.5,Simulation,1
RBX_00156,23.3,36,82,3.0,Action,1
RBX_00157,27.7,22,99,4.7,RPG,1
RBX_00158,26.6,25,39,4.9,RPG,1
RBX_00159,37.3,9,171,3.2,RPG,1
RBX_00160,26.4,37,266,2.8,Tycoon,0
RBX_00161,50.1,44,118,4.3,RPG,1
RBX_00162,39.2,4,108,3.7,Tycoon,1
RBX_00163,23.6,34,118,4.2,RPG,1
RBX_00164,16.8,46,127,2.6,Action,1
RBX_00165,32.6,27,259,3.9,RPG,1
RBX_00166,56.4,25,270,3.4,Tycoon,1
RBX_00167,19.4,40,77,2.7,RPG,0
RBX_00168,32.4,24,13,4.0,Action,0
RBX_00169,44.9,36,274,3.9,Tycoon,1
RBX_00170,34.9,20,70,3.9,Simulation,1
RBX_00171,25.9,35,233,4.9,Tycoon,1
RBX_00172,24.9,1,69,4.5,Action,1
RBX_00173,20.1,16,64,4.5,Action,0
RBX_00174,5.8,47,298,3.3,RPG,1
RBX_00175,26.6,13,280,3.6,Action,1
RBX_00176,18.6,49,34,4.3,Tycoon,1
RBX_00177,28.4,47,77,5.0,Tycoon,1
RBX_00178,28.7,41,134,3.6,Action,1
RBX_00179,7.0,26,169,2.5,Tycoon,0
RBX_00180,18.2,34,284,4.8,RPG,1
RBX_00181,32.9,49,189,2.0,Action,1
RBX_00182,33.8,39,229,3.3,Tycoon,1
RBX_00183,9.6,17,204,2.4,Action,0
RBX_00184,30.6,34,110,3.0,RPG,1
RBX_00185,31.0,16,122,3.2,Action,1
RBX_00186,11.8,45,54,3.9,Tycoon,1
RBX_00187,25.7,11,66,3.0,Tycoon,0
RBX_00188,20.8,3,67,4.1,Tycoon,0
RBX_00189,12.4,33,269,4.1,Simulation,1
RBX_00190,16.6,5,227,2.2,Tycoon,0
RBX_00191,33.4,48,183,3.8,Tycoon,1
RBX_00192,20.4,18,231,2.3,Simulation,1
RBX_00193,6.4,26,78,3.5,Tycoon,1
RBX_00194,33.9,34,74,4.1,RPG,1
RBX_00195,26.4,29,264,3.2,Action,0
RBX_00196,8.2,41,33,4.0,RPG,1
RBX_00197,5.8,35,105,4.2,Action,1
RBX_00198,21.2,18,44,3.5,Action,0
RBX_00199,18.2,12,293,3.8,Action,1
RBX_00200,20.5,41,295,3.7,Simulation,0
RBX_00201,29.0,47,156,3.7,RPG,1
RBX_00202,26.0,17,117,4.0,Tycoon,0
RBX_00203,9.3,15,84,4.5,Simulation,0
RBX_00204,27.2,15,56,4.7,Action,1
RBX_00205,30.7,37,257,2.4,Action,0
RBX_00206,42.7,20,191,3.2,Tycoon,1
RBX_00207,22.5,30,190,3.4,RPG,1
RBX_00208,40.7,39,212,3.6,Action,1
RBX_00209,15.8,8,209,2.3,RPG,0
RBX_00210,4.0,1,183,3.4,Tycoon,0
RBX_00211,33.7,4,217,4.3,Simulation,1
RBX_00212,11.5,48,33,3.2,Tycoon,1
RBX_00213,35.2,11,273,1.9,Action,0
RBX_00214,13.3,31,287,2.9,RPG,0
RBX_00215,32.1,18,26,3.2,RPG,1
RBX_00216,32.2,45,215,4.1,RPG,1
RBX_00217,27.7,32,215,2.0,RPG,1
RBX_00218,20.1,4,120,3.6,Action,0
RBX_00219,8.3,22,86,1.9,RPG,0
RBX_00220,29.7,43,160,4.8,Action,1
RBX_00221,18.9,39,66,2.0,Tycoon,0
RBX_00222,21.4,12,290,3.4,Tycoon,1
RBX_00223,33.5,31,162,3.0,Action,0
RBX_00224,2.0,15,125,3.1,Simulation,0
RBX_00225,19.1,12,24,1.5,RPG,0
RBX_00226,30.5,2,23,3.9,Tycoon,1
RBX_00227,30.0,30,286,4.3,Tycoon,1
RBX_00228,7.5,28,166,3.1,Simulation,0
RBX_00229,35.5,15,63,3.9,Action,0
RBX_00230,22.8,1,53,3.0,Tycoon,1
RBX_00231,49.7,48,285,3.8,RPG,1
RBX_00232,34.0,11,252,3.9,Tycoon,1
RBX_00233,36.1,36,61,3.8,RPG,1
RBX_00234,32.5,12,171,2.7,Simulation,0
RBX_00235,3.7,15,169,4.2,RPG,0
RBX_00236,28.8,12,102,4.6,Simulation,1
RBX_00237,25.8,44,54,3.7,Action,1
RBX_00238,2.0,6,131,3.3,Action,0
RBX_00239,14.8,44,227,3.0,Tycoon,1
RBX_00240,19.5,6,9,3.6,RPG,0
RBX_00241,17.9,37,17,2.9,RPG,1
RBX_00242,14.0,25,253,2.7,Tycoon,0
RBX_00243,18.3,15,87,4.0,Tycoon,1
RBX_00244,9.5,24,133,4.0,RPG,1
RBX_00245,46.0,3,27,3.0,Simulation,1
RBX_00246,15.0,9,242,3.8,Tycoon,0
RBX_00247,15.6,34,191,5.0,Tycoon,0
RBX_00248,20.3,25,181,1.9,Tycoon,0
RBX_00249,18.5,31,94,3.1,Tycoon,0
RBX_00250,2.8,8,9,1.9,Simulation,0
RBX_00251,21.1,4,150,4.1,Action,1
RBX_00252,2.2,2,10,3.2,Tycoon,0
RBX_00253,23.1,30,179,3.6,RPG,1
RBX_00254,17.6,5,274,4.4,Tycoon,1
RBX_00255,30.3,35,70,2.0,Tycoon,0
RBX_00256,26.8,6,254,1.4,RPG,1
RBX_00257,39.5,0,272,3.9,RPG,1
RBX_00258,16.1,23,267,5.0,RPG,1
RBX_00259,18.8,32,202,2.6,Simulation,1
RBX_00260,48.2,49,107,3.9,Simulation,1
RBX_00261,51.0,13,30,2.4,Action,1
RBX_00262,28.3,9,170,3.9,Tycoon,0
RBX_00263,24.5,22,78,4.8,Simulation,1
RBX_00264,17.8,49,71,3.0,RPG,1
RBX_00265,13.7,41,95,3.6,RPG,1
RBX_00266,15.0,27,109,4.0,Action,1
RBX_00267,15.4,50,135,3.1,RPG,1
RBX_00268,18.7,5,182,4.3,Action,1
RBX_00269,19.8,0,71,3.9,Tycoon,1
RBX_00270,20.8,15,193,4.9,RPG,1
RBX_00271,31.9,10,246,3.4,RPG,0
RBX_00272,15.8,8,182,2.8,RPG,0
RBX_00273,8.0,6,152,3.9,Action,0
RBX_00274,29.8,3,13,3.1,Tycoon,0
RBX_00275,21.9,16,257,3.9,RPG,1
RBX_00276,29.2,38,258,3.9,Simulation,1
RBX_00277,11.1,16,25,3.7,Tycoon,0
RBX_00278,6.6,43,191,3.2,Tycoon,1
RBX_00279,12.8,34,291,3.2,Simulation,1
RBX_00280,30.3,38,38,3.7,RPG,1
RBX_00281,14.8,7,47,2.5,Tycoon,0
RBX_00282,20.2,11,278,3.5,Tycoon,1
RBX_00283,33.4,10,73,2.9,Action,1
RBX_00284,15.2,48,121,4.1,RPG,1
RBX_00285,18.2,23,43,2.4,RPG,0
RBX_00286,28.4,34,222,3.3,Action,1
RBX_00287,37.5,30,212,2.6,Action,1
RBX_00288,18.8,49,128,3.1,Simulation,0
RBX_00289,27.0,24,252,3.4,Tycoon,1
RBX_00290,50.6,14,102,3.2,Action,1
RBX_00291,11.0,5,165,2.5,Action,1
RBX_00292,25.5,34,143,4.2,Action,1
RBX_00293,40.8,10,89,3.8,Action,1
