Product_ID,Temperature,Vibration,Operation_Time,Material_Type,Maintenance_Flag,Defect_Status
PROD_00000,67.5,83.0,2.7,Type_C,No,0
PROD_00001,57.9,92.4,47.3,Type_A,No,0
PROD_00002,69.7,85.1,38.4,Type_B,No,0
PROD_00003,82.8,102.8,41.7,Type_B,No,0
PROD_00004,56.5,129.9,33.3,Type_B,Yes,0
PROD_00005,56.5,80.7,8.9,Type_C,No,0
PROD_00006,83.7,125.0,1.5,Type_C,No,0
PROD_00007,71.5,80.5,41.5,Type_C,Yes,0
PROD_00008,53.0,78.8,19.0,Type_B,Yes,0
PROD_00009,68.1,120.5,12.7,Type_C,No,0
PROD_00010,53.0,123.0,27.0,Type_A,Yes,0
PROD_00011,53.0,121.3,20.2,Type_B,No,0
PROD_00012,,67.1,31.3,Type_A,No,0
PROD_00013,31.3,88.4,23.2,Type_A,No,0
PROD_00014,34.1,120.6,33.5,Type_B,No,1
PROD_00015,51.6,101.0,41.0,Type_A,No,1
PROD_00016,44.8,73.2,9.4,Type_A,Yes,0
PROD_00017,64.7,111.5,15.8,Type_C,No,0
PROD_00018,46.4,82.1,21.0,Type_A,No,1
PROD_00019,38.8,144.9,46.2,Type_C,No,1
PROD_00020,82.0,138.6,17.5,Type_A,No,1
PROD_00021,56.6,115.1,18.3,Type_B,No,0
PROD_00022,61.0,134.0,31.4,Type_B,No,1
PROD_00023,38.6,101.6,20.1,Type_B,No,0
PROD_00024,51.8,119.1,45.7,Type_B,No,0
PROD_00025,61.7,136.9,42.9,Type_C,Yes,0
PROD_00026,42.7,106.1,24.6,Type_A,Yes,0
PROD_00027,65.6,93.6,30.9,Type_A,No,1
PROD_00028,51.0,57.4,2.8,Type_B,Yes,0
PROD_00029,55.6,97.9,33.4,Type_C,No,0
PROD_00030,51.0,120.6,33.9,Type_C,No,0
PROD_00031,87.8,123.6,17.2,Type_B,No,0
PROD_00032,59.8,112.6,10.5,Type_A,Yes,0
PROD_00033,44.1,86.5,43.9,Type_B,Yes,0
PROD_00034,72.3,50.6,20.5,Type_A,No,0
PROD_00035,41.7,87.6,31.4,Type_B,No,0
PROD_00036,63.1,92.4,1.6,Type_A,No,0
PROD_00037,30.6,92.2,19.9,Type_C,No,0
PROD_00038,40.1,115.5,39.2,Type_B,No,0
PROD_00039,63.0,149.6,18.6,Type_A,No,0
PROD_00040,71.1,103.1,29.0,Type_A,No,0
PROD_00041,62.6,94.6,10.1,Type_A,No,0
PROD_00042,58.3,93.5,20.0,Type_A,No,0
PROD_00043,55.5,103.1,44.5,Type_C,No,1
PROD_00044,37.8,79.3,27.2,Type_A,No,0
PROD_00045,49.2,103.0,43.3,Type_C,No,0
PROD_00046,53.1,111.3,43.3,Type_A,Yes,0
PROD_00047,75.9,105.2,45.3,Type_C,Yes,1
PROD_00048,65.2,111.4,43.0,Type_C,No,0
PROD_00049,33.6,110.8,0.2,Type_A,No,0
PROD_00050,64.9,55.7,44.8,Type_C,No,1
PROD_00051,54.2,115.9,6.6,Type_B,No,0
PROD_00052,49.8,83.2,1.9,Type_A,No,0
PROD_00053,69.2,72.6,2.7,Type_B,Yes,0
PROD_00054,75.5,72.4,16.7,Type_C,No,1
PROD_00055,74.0,110.8,29.8,Type_C,No,0
PROD_00056,47.4,94.4,19.3,Type_B,No,0
PROD_00057,55.4,58.0,1.2,Type_A,No,0
PROD_00058,65.0,112.0,22.9,Type_B,No,0
PROD_00059,74.6,64.0,21.2,Type_C,Yes,0
PROD_00060,52.8,103.5,36.3,Type_A,No,1
PROD_00061,57.2,106.0,13.4,Type_B,No,0
PROD_00062,43.4,122.1,10.4,Type_B,No,1
PROD_00063,42.1,144.5,12.3,Type_A,Yes,0
PROD_00064,72.2,65.9,14.6,Type_B,No,0
PROD_00065,80.3,98.7,28.8,Type_A,No,1
PROD_00066,58.9,93.1,22.6,Type_A,No,0
PROD_00067,75.1,110.8,16.2,Type_B,No,0
PROD_00068,65.4,105.4,18.0,Type_A,Yes,0
PROD_00069,50.3,91.2,17.8,Type_A,Yes,0
PROD_00070,,89.0,46.7,Type_C,No,1
PROD_00071,83.1,72.1,11.2,Type_C,No,1
PROD_00072,59.5,124.7,39.3,Type_C,No,0
PROD_00073,83.5,111.5,34.0,Type_B,No,1
PROD_00074,20.7,122.9,0.3,Type_B,No,0
PROD_00075,72.3,92.2,47.7,Type_B,No,1
PROD_00076,61.3,83.6,36.3,Type_B,No,1
PROD_00077,55.5,73.0,32.8,Type_A,No,0
PROD_00078,61.4,109.0,19.5,Type_A,No,0
PROD_00079,30.2,74.0,26.6,Type_C,No,0
PROD_00080,56.7,146.2,12.2,Type_A,No,0
PROD_00081,65.4,67.3,1.7,Type_B,No,0
PROD_00082,82.2,106.8,40.1,Type_A,No,1
PROD_00083,52.2,139.2,43.0,Type_C,No,0
PROD_00084,47.9,115.0,7.8,Type_B,No,0
PROD_00085,52.5,104.4,37.8,Type_A,No,0
PROD_00086,73.7,75.8,35.6,Type_C,No,1
PROD_00087,64.9,65.5,8.6,Type_A,No,0
PROD_00088,52.1,119.3,20.2,Type_C,No,0
PROD_00089,67.7,137.7,20.3,Type_C,No,0
PROD_00090,61.5,89.0,36.5,Type_C,No,1
PROD_00091,74.5,71.5,40.2,Type_B,No,0
PROD_00092,49.5,38.5,4.5,Type_A,No,0
PROD_00093,55.1,75.5,27.0,Type_A,Yes,0
PROD_00094,54.1,97.2,36.6,Type_B,Yes,0
PROD_00095,38.0,140.0,37.7,Type_B,No,1
