Student_ID,Study_Hours,Attendance_Rate,Mock_Score,Sleep_Hours,Academy_Type,Pass
STU_00000,30.0,64.8,66.3,3.5,Self_Study,1
STU_00001,23.6,70.4,65.1,4.9,Online,1
STU_00002,31.5,66.0,43.1,5.6,Offline,0
STU_00003,40.2,76.7,70.4,6.7,Online,1
STU_00004,22.7,93.0,33.2,8.0,Offline,1
STU_00005,22.7,63.4,48.2,7.5,Self_Study,1
STU_00006,40.8,90.0,24.0,4.7,Online,0
STU_00007,32.7,63.3,88.1,5.9,Online,1
STU_00008,20.3,62.3,55.8,6.6,Offline,1
STU_00009,30.4,87.3,99.0,6.1,Offline,1
STU_00010,20.4,88.8,74.5,6.1,Offline,0
STU_00011,20.3,87.8,68.1,3.9,Offline,1
STU_00012,27.4,55.3,49.4,4.8,Offline,1
STU_00013,5.9,68.0,41.2,5.9,Offline,0
STU_00014,7.8,,69.4,3.0,Offline,1
STU_00015,19.4,75.6,58.7,7.5,Self_Study,0
STU_00016,14.9,58.9,35.9,4.4,Self_Study,1
STU_00017,28.1,81.9,32.7,7.5,Offline,0
STU_00018,15.9,64.3,42.7,7.4,Online,0
STU_00019,10.9,100.0,92.8,5.7,Offline,1
STU_00020,39.7,98.2,99.8,8.0,Self_Study,1
STU_00021,22.7,84.1,63.7,7.6,Offline,1
STU_00022,25.7,95.4,62.7,6.0,Self_Study,1
STU_00023,10.8,76.0,53.9,5.9,Offline,0
STU_00024,19.6,86.5,43.2,8.1,Self_Study,1
STU_00025,26.1,97.2,84.8,6.8,Online,1
STU_00026,13.5,78.7,93.7,8.1,Offline,1
STU_00027,28.8,71.2,43.9,3.0,Offline,1
STU_00028,19.0,49.4,58.5,6.6,Self_Study,0
STU_00029,22.1,73.8,51.9,4.1,Offline,1
STU_00030,19.0,87.4,52.4,6.5,Online,1
STU_00031,43.5,89.2,81.3,7.6,Self_Study,1
STU_00032,24.9,82.6,36.4,9.1,Offline,0
STU_00033,14.4,66.9,68.4,5.1,Online,1
STU_00034,33.2,45.3,73.1,5.7,Offline,1
STU_00035,12.8,67.6,57.4,6.4,Offline,1
STU_00036,27.1,70.4,76.1,5.0,Offline,1
STU_00037,5.4,70.3,62.7,8.0,Self_Study,1
STU_00038,11.7,84.3,81.9,6.4,Offline,1
STU_00039,27.0,100.0,32.6,6.7,Offline,0
STU_00040,32.4,76.9,53.7,7.4,Online,1
STU_00041,26.7,71.7,58.7,6.4,Offline,1
STU_00042,23.8,71.1,11.9,5.3,Online,0
STU_00043,22.0,76.9,40.5,6.4,Online,1
STU_00044,10.2,62.6,45.4,5.2,Online,1
STU_00045,17.8,76.8,77.1,6.7,Online,1
STU_00046,20.4,81.8,47.3,8.0,Online,1
STU_00047,35.6,78.1,45.3,4.7,Offline,1
STU_00048,28.4,81.9,74.7,4.2,Online,1
STU_00049,7.4,81.5,30.9,6.6,Online,1
STU_00050,28.2,48.4,22.7,5.3,Self_Study,0
STU_00051,21.1,84.6,53.5,6.5,Offline,1
STU_00052,18.2,64.9,33.9,7.0,Offline,1
STU_00053,31.1,58.6,34.6,3.3,Online,1
STU_00054,35.3,58.4,70.3,7.5,Offline,0
STU_00055,34.3,81.5,75.8,4.7,Offline,0
STU_00056,16.6,71.7,74.2,6.5,Offline,1
STU_00057,21.9,49.8,80.0,5.5,Offline,1
STU_00058,28.3,82.2,82.3,5.7,Offline,1
STU_00059,34.8,53.4,21.7,9.0,Self_Study,0
STU_00060,20.2,77.1,68.1,7.0,Self_Study,1
