Customer_ID,Age,Tenure,Monthly_Charges,Contract_Type,Tech_Support,Churn
USER_00000,56,26,77.5,Month-to-month,No,0
USER_00001,69,61,37.7,Month-to-month,No,1
USER_00002,46,37,79.2,One year,Yes,0
USER_00003,32,23,74.0,One year,No,0
USER_00004,60,40,69.4,Month-to-month,Yes,0
USER_00005,25,23,71.3,Month-to-month,No,1
USER_00006,78,16,36.4,Month-to-month,Yes,0
USER_00007,38,61,66.3,One year,No,1
USER_00008,56,68,80.6,Month-to-month,Yes,1
USER_00009,75,31,68.9,Month-to-month,No,1
USER_00010,36,53,68.9,Month-to-month,Yes,0
USER_00011,40,25,27.8,Month-to-month,No,1
USER_00012,28,44,39.1,One year,No,0
USER_00013,28,12,,Month-to-month,Yes,0
USER_00014,41,9,61.9,Month-to-month,No,1
USER_00015,70,12,79.4,Month-to-month,No,1
USER_00016,53,69,106.3,Two year,Yes,0
USER_00017,57,54,35.9,One year,No,0
USER_00018,41,54,21.5,Month-to-month,Yes,1
USER_00019,20,28,64.9,Month-to-month,No,1
USER_00020,39,56,63.2,Two year,No,1
USER_00021,70,69,75.2,Month-to-month,No,1
USER_00022,19,58,103.3,Two year,Yes,0
USER_00023,41,42,100.2,Month-to-month,Yes,1
USER_00024,61,38,30.0,Month-to-month,No,0
USER_00025,47,68,113.4,One year,No,1
USER_00026,55,53,31.0,One year,No,0
USER_00027,19,33,83.5,Two year,Yes,0
USER_00028,77,71,87.2,Two year,Yes,0
USER_00029,38,56,88.0,Month-to-month,No,0
USER_00030,50,72,46.5,One year,No,1
USER_00031,29,51,53.0,Two year,Yes,0
USER_00032,75,43,74.9,One year,No,0
USER_00033,39,15,40.0,Month-to-month,Yes,1
USER_00034,78,38,22.0,Month-to-month,No,1
USER_00035,61,15,76.2,Month-to-month,No,1
USER_00036,42,5,66.5,Two year,No,1
USER_00037,66,54,85.7,Month-to-month,No,1
USER_00038,44,51,34.7,Month-to-month,No,1
USER_00039,76,10,104.1,Two year,No,0
USER_00040,59,12,34.6,Month-to-month,Yes,1
USER_00041,45,4,109.1,One year,No,0
USER_00042,77,18,65.0,Two year,No,1
USER_00043,33,36,75.0,Month-to-month,Yes,0
USER_00044,32,25,109.7,Month-to-month,No,1
USER_00045,79,36,50.0,Month-to-month,No,1
USER_00046,79,67,38.2,One year,Yes,1
USER_00047,64,9,64.6,One year,No,0
USER_00048,79,61,44.4,Month-to-month,No,0
USER_00049,68,53,72.8,Month-to-month,Yes,0
USER_00050,61,18,47.5,One year,No,0
USER_00051,72,43,106.4,Month-to-month,No,1
USER_00052,69,35,80.7,One year,Yes,0
USER_00053,74,63,20.0,One year,No,0
USER_00054,20,4,100.5,One year,No,0
USER_00055,54,41,53.0,Two year,No,0
USER_00056,68,45,52.0,Month-to-month,No,1
USER_00057,24,50,58.3,Month-to-month,No,1
USER_00058,38,28,83.0,One year,No,1
USER_00059,26,42,64.2,Month-to-month,No,1
USER_00060,56,69,82.9,One year,No,0
USER_00061,35,1,34.7,Two year,No,1
USER_00062,21,39,117.0,Two year,No,0
USER_00063,42,17,93.0,One year,No,0
USER_00064,77,35,45.0,Two year,No,1
USER_00065,31,46,92.4,Month-to-month,No,0
USER_00066,67,42,77.5,Month-to-month,Yes,0
USER_00067,75,39,30.9,Month-to-month,No,0
USER_00068,26,49,37.8,Month-to-month,No,1
USER_00069,43,62,24.1,Month-to-month,Yes,0
USER_00070,70,38,100.9,Two year,No,0
USER_00071,19,23,75.2,One year,Yes,0
USER_00072,37,22,51.7,One year,No,1
USER_00073,45,4,32.6,Month-to-month,Yes,1
USER_00074,64,49,68.4,Month-to-month,Yes,0
USER_00075,77,59,72.5,Two year,Yes,0
USER_00076,24,68,90.2,One year,No,0
USER_00077,61,71,117.0,One year,Yes,0
USER_00078,78,2,63.5,Two year,No,1
USER_00079,25,49,60.6,One year,Yes,0
USER_00080,64,31,57.0,One year,No,0
USER_00081,52,40,102.7,Month-to-month,No,1
USER_00082,31,48,35.6,Month-to-month,No,0
USER_00083,34,51,54.4,One year,Yes,0
USER_00084,53,43,92.5,Month-to-month,Yes,0
USER_00085,67,55,21.6,One year,No,1
USER_00086,57,49,48.9,Month-to-month,No,1
USER_00087,21,57,84.1,Month-to-month,No,0
USER_00088,19,15,38.6,Month-to-month,Yes,0
USER_00089,79,27,50.3,Month-to-month,No,0
USER_00090,23,68,68.6,Two year,Yes,0
USER_00091,71,64,62.2,Month-to-month,No,1
USER_00092,59,30,30.6,One year,No,1
USER_00093,21,36,113.8,Month-to-month,No,0
USER_00094,71,67,24.4,Month-to-month,No,0
USER_00095,46,49,95.0,Month-to-month,Yes,0
USER_00096,35,55,27.1,Two year,No,0
USER_00097,43,56,66.7,Month-to-month,Yes,1
USER_00098,61,68,37.5,Two year,Yes,0
USER_00099,51,44,34.1,Month-to-month,No,1
USER_00100,27,31,32.6,Month-to-month,No,0
USER_00101,79,58,65.3,One year,No,0
USER_00102,53,53,71.5,One year,No,0
USER_00103,31,23,33.3,One year,Yes,0
USER_00104,48,28,117.9,Month-to-month,Yes,0
USER_00105,65,16,45.8,Month-to-month,No,1
USER_00106,32,37,65.9,Month-to-month,No,1
USER_00107,25,21,41.6,Two year,Yes,0
USER_00108,31,17,69.4,Month-to-month,No,0
USER_00109,40,37,95.6,Two year,No,0
USER_00110,77,19,72.1,Month-to-month,No,0
USER_00111,74,30,48.6,One year,No,0
USER_00112,79,45,44.8,Month-to-month,No,0
USER_00113,57,18,95.9,Month-to-month,No,1
USER_00114,38,62,31.8,Month-to-month,Yes,1
USER_00115,33,36,57.0,Month-to-month,Yes,0
USER_00116,62,52,35.1,Two year,No,1
USER_00117,35,19,45.8,One year,No,0
