CustomerID,Gender,Age,Annual_Income,Spending_Score
CUST_11499,Male,61,84.2,29.9
CUST_06475,Male,39,61.5,34.7
CUST_13167,Female,58,87.6,74.4
CUST_00862,Male,33,19.4,26.5
CUST_05970,Female,57,32.9,86.3
CUST_06706,Female,58,60.7,59.9
CUST_03017,Female,42,13.6,80.6
CUST_03781,Female,59,32.8,87.0
CUST_03898,Male,60,14.3,77.4
CUST_02250,Female,32,19.2,11.9
CUST_00542,Male,53,27.3,22.6
CUST_04351,Female,25,13.5,85.1
CUST_12807,Female,65,94.2,77.2
CUST_06631,Female,64,51.8,51.7
CUST_06705,Male,31,47.5,54.2
CUST_06978,Male,53,40.7,58.2
CUST_07399,Male,31,37.6,46.4
CUST_11119,Male,24,83.3,11.2
CUST_12665,Male,21,96.8,85.1
CUST_05304,Female,29,34.1,74.6
CUST_02312,Male,19,27.1,27.6
CUST_07040,Female,56,47.8,68.3
CUST_01889,Male,39,12.5,19.5
CUST_08991,Male,44,57.8,44.2
CUST_00169,Male,53,27.5,16.6
CUST_01795,Female,28,31.4,23.6
CUST_03975,Female,46,13.7,87.8
CUST_06820,Female,19,52.1,46.0
CUST_07826,Female,40,60.0,53.9
CUST_11809,Male,29,74.4,30.1
CUST_01039,Male,22,24.2,17.3
CUST_02848,Female,55,22.6,15.5
CUST_03371,Female,65,12.5,68.1
CUST_08829,Male,65,49.3,59.5
CUST_10349,Male,59,89.0,22.9
CUST_08797,Female,61,32.3,34.1
CUST_00764,Female,38,22.1,13.3
CUST_01593,Female,61,17.8,25.4
CUST_14232,Male,57,83.8,79.5
CUST_05872,Male,52,32.0,84.9
CUST_09940,Female,44,85.0,25.5
CUST_05169,Female,60,20.8,71.0
CUST_10909,Male,46,84.1,34.4
CUST_04122,Female,59,19.4,69.2
CUST_12948,Male,39,88.0,81.1
CUST_14482,Female,50,97.9,84.6
CUST_00149,Male,25,29.9,23.8
CUST_11736,Female,45,75.8,16.9
CUST_00387,Female,31,28.7,10.6
CUST_03946,Female,61,15.4,71.9
CUST_13402,Female,54,90.6,78.2
CUST_01373,Male,66,26.4,13.1
CUST_02884,Female,49,26.2,10.3
