Car_ID,Year,Mileage,Engine_Size,Fuel_Type,Accident_History,Price
CAR_00000,2016,131410.0,3.0,Petrol,No,1920.0
CAR_00001,2013,38615.0,3.0,Diesel,No,2790.0
CAR_00002,2022,175117.0,2.0,Hybrid,Yes,2040.0
CAR_00003,2024,124558.0,1.0,Diesel,Yes,2310.0
CAR_00004,2020,35655.0,2.5,Petrol,No,3180.0
CAR_00005,2017,192656.0,1.0,Diesel,No,350.0
CAR_00006,2022,106081.0,1.6,Diesel,No,2610.0
CAR_00007,2014,,3.0,Petrol,No,3250.0
CAR_00008,2016,127232.0,3.0,Petrol,Yes,1640.0
CAR_00009,2019,54374.0,3.5,Petrol,No,3650.0
CAR_00010,2012,161720.0,1.0,Petrol,No,100.0
CAR_00011,2016,164475.0,1.6,Petrol,No,1270.0
CAR_00012,2020,195895.0,3.5,Petrol,No,2110.0
CAR_00013,2020,102865.0,3.5,Petrol,Yes,2980.0
CAR_00014,2017,93717.0,2.0,Hybrid,No,2540.0
CAR_00015,2014,151928.0,3.5,Diesel,No,1560.0
CAR_00016,2013,30832.0,3.5,Hybrid,No,3210.0
CAR_00017,2017,111649.0,2.0,Diesel,Yes,1560.0
CAR_00018,2017,111518.0,3.0,Petrol,Yes,2300.0
CAR_00019,2012,22447.0,3.0,Petrol,No,2650.0
CAR_00020,2015,86507.0,2.5,Hybrid,No,2250.0
CAR_00021,2014,171391.0,3.5,Petrol,No,1620.0
CAR_00022,2011,171950.0,1.0,Petrol,No,100.0
CAR_00023,2017,24351.0,3.0,Petrol,Yes,3180.0
CAR_00024,2021,22691.0,1.6,Petrol,No,3600.0
CAR_00025,2023,56226.0,1.0,Petrol,No,2780.0
CAR_00026,2015,175579.0,2.5,Petrol,Yes,940.0
CAR_00027,2011,30136.0,3.5,Petrol,No,2910.0
CAR_00028,2025,145399.0,2.0,Diesel,No,2440.0
CAR_00029,2021,24727.0,2.5,Petrol,Yes,3450.0
CAR_00030,2014,126512.0,1.0,Diesel,No,1170.0
CAR_00031,2010,74433.0,2.0,Diesel,No,1130.0
CAR_00032,2021,158838.0,1.6,Diesel,No,1750.0
CAR_00033,2019,50570.0,2.0,Petrol,No,3110.0
CAR_00034,2015,129644.0,2.0,Diesel,No,1240.0
CAR_00035,2022,50958.0,1.6,Petrol,No,3260.0
CAR_00036,2021,144164.0,3.0,Petrol,No,2780.0
CAR_00037,2018,175367.0,3.0,Diesel,No,2170.0
CAR_00038,2010,29726.0,2.0,Petrol,Yes,1380.0
CAR_00039,2020,173986.0,2.0,Petrol,No,2070.0
CAR_00040,2020,120747.0,2.5,Petrol,No,2470.0
CAR_00041,2024,29787.0,3.0,Petrol,Yes,3710.0
CAR_00042,2019,88371.0,1.6,Petrol,Yes,1660.0
CAR_00043,2025,36368.0,3.5,Hybrid,No,4620.0
CAR_00044,2021,141568.0,3.5,Petrol,No,3120.0
CAR_00045,2021,152979.0,2.0,Petrol,No,1970.0
CAR_00046,2025,25630.0,2.0,Diesel,No,3990.0
CAR_00047,2024,103697.0,3.5,Diesel,No,3830.0
CAR_00048,2023,163852.0,2.5,Hybrid,Yes,2310.0
CAR_00049,2023,187552.0,2.5,Hybrid,No,2560.0
CAR_00050,2024,105136.0,2.5,Diesel,Yes,3190.0
CAR_00051,2023,190304.0,1.0,Hybrid,Yes,1450.0
CAR_00052,2012,109459.0,1.6,Petrol,No,1190.0
CAR_00053,2021,81867.0,1.0,Diesel,No,2260.0
CAR_00054,2016,170400.0,2.0,Hybrid,No,1450.0
CAR_00055,2013,101132.0,2.5,Diesel,No,1710.0
CAR_00056,2025,97021.0,2.5,Hybrid,Yes,3640.0
CAR_00057,2018,100611.0,3.5,Petrol,No,3030.0
CAR_00058,2012,170123.0,3.5,Petrol,Yes,920.0
CAR_00059,2014,167229.0,2.5,Hybrid,No,1480.0
CAR_00060,2012,83686.0,3.0,Petrol,No,1770.0
CAR_00061,2016,69993.0,3.5,Diesel,Yes,2730.0
CAR_00062,2014,100926.0,1.6,Petrol,No,1380.0
CAR_00063,2018,116691.0,1.0,Diesel,Yes,1260.0
CAR_00064,2016,51476.0,1.6,Hybrid,No,2380.0
CAR_00065,2011,159821.0,3.5,Petrol,No,1180.0
CAR_00066,2013,99864.0,2.5,Petrol,No,1550.0
CAR_00067,2018,70139.0,2.0,Petrol,No,2710.0
CAR_00068,2021,25830.0,3.0,Hybrid,No,4470.0
CAR_00069,2023,51575.0,3.5,Diesel,No,4240.0
CAR_00070,2011,190110.0,1.6,Petrol,No,100.0
CAR_00071,2019,64494.0,2.0,Petrol,No,2460.0
CAR_00072,2018,37928.0,3.5,Hybrid,No,3420.0
CAR_00073,2019,94831.0,2.5,Hybrid,No,2530.0
CAR_00074,2014,64882.0,2.5,Petrol,No,2310.0
CAR_00075,2011,11856.0,2.5,Petrol,No,1930.0
CAR_00076,2013,68013.0,2.5,Diesel,No,2150.0
CAR_00077,2021,111101.0,3.5,Diesel,No,3070.0
CAR_00078,2024,112584.0,3.0,Hybrid,No,3710.0
CAR_00079,2021,74529.0,3.0,Petrol,No,3320.0
CAR_00080,2016,92224.0,1.6,Diesel,Yes,1270.0
CAR_00081,2021,193276.0,3.5,Diesel,No,2190.0
